Bug ID, Bug Description, Conteset ID, Bug Label
H-02, "distribute DoS on missing receiveRewards implementation", 8, O3
H-04, "Yearn token <> shares conversion decimal issue", 61, L2
H-08, "Wrong liquidity units calculation", 5, S6
H-01, "Reliance on lifiData.receivingAssetId can cause loss of funds", 103, S2
H-06, "LPs of VaderPoolV2 can manipulate pool reserves to extract funds from the reserve.", 70, S1
H-03, "setYieldSource leads to temporary wrong results", 24, S3
H-01, "Cross-chain smart contract calls can revert but source chain tokens remain burnt and are not refunded", 109, O2
H-12, "IndexTemplate.sol Wrong implementation allows lp of the index pool to resume a locked PayingOut pool and escape the responsibility for the compensation", 71, S5
H-16, "Tokens can be stolen through transferTo", 5, O3
H-34, "Incorrect Accrual Of sumNative and sumUSD In Producing Consultation Results", 52, S6
H-08, "Reserve does not properly apply prices of VADER and USDV tokens", 70, S1
H-02, "Index Pool always swap to Zero", 29, O5
H-02, "First depositor can break minting of shares", 100, O1
H-09, "ERC20 tokens with no return value will fail to transfer", 104, L8
H-01, "In CreditLine#_borrowTokensToLiquidate, oracle is used wrong way", 61, O5
H-08, "Dividend reward can be gamed", 20, S3
H-10, "Liquidity token value can be manipulated", 23, S1
H-03, "Update initializer modifier to prevent reentrancy during initialization", 107, L1
H-07, "Redemption value of synths can be manipulated to drain VaderPoolV2 of all native assets in the associated pair", 70, S1
H-11, "Impossible to call withdrawReward fails due to run out of gas", 3, L4
H-04, "SwappableYieldSource: Missing same deposit token check in transferFunds()", 24, C
H-02, "QuickAccManager.sol#cancel() Wrong hashTx makes it impossible to cancel a scheduled transaction", 38, O5
H-02, "Buoy3Pool.safetyCheck is not precise and has some assumptions", 17, L2
H-02, "The return value success of the get function of the INFTOracle interface is not checked", 113, S5
H-02, "Basket.sol#auctionBurn() A failed auction will freeze part of the funds", 36, S3
H-02, "Fund loss or theft by attacker with creating a flash loan and setting SuperVault as receiver so executeOperation() will be get called by lendingPool but with attackers specified params", 115, C
H-02, "Transferring quoteToken to the exchange pool contract will cause future liquidity providers to lose funds", 77, S5
H-02, "The check for value transfer success is made after the return statement in _withdrawFromYieldPool of LidoVault", 125, C
H-04, "return value of 0 from ecrecover not checked", 39, C
H-01, "Can force borrower to pay huge interest", 106, O6
H-02, "Creators can steal sale revenue from owners’ sales", 94, S4
H-04, "EIP712MetaTransaction.executeMetaTransaction() failed txs are open to replay attacks", 98, O3
H-04, "QuickAccManager Smart Contract signature verification can be exploited", 38, C
H-02, "Wrong returns of SavingsAccountUtil.depositFromSavingsAccount() can cause fund loss", 61, O5
H-06, "Setting new controller can break YVaultLPFarming", 107, O1
H-21, "Lack of access control allow attacker to mintFungible() and mintSynth() with other user’s wallet balance", 52, S2
H-06, "Loss Of Flash Governance Tokens If They Are Not Withdrawn Before The Next Request", 78, S3
H-02, "[Bug] A critical bug in bps function", 21, C
H-09, "DOS while dealing with erc20 when value(i.e amount*decimals)  is high but less than type(uint112).max", 62, L7
H-10, "An attacker can steal funds from multi-token vaults", 30, S6
H-01, "IndexLogic: An attacker can mint tokens for himself using assets deposited by other users", 90, S4
H-01, "A malicious early user/attacker can manipulate the vault’s pricePerShare to take an unfair share of future users’ deposits", 114, O1
H-04, "Anyone can affect deposits of any user and turn the owner of the token", 13, S2
H-05, "In the lend() function state updates are made after the callback", 74, C
H-03, "A vault can be locked from MarketplaceZap and StakingZap", 69, S5
H-02, "PooledCreditLine: termination likely fails because _principleWithdrawable is treated as shares", 101, S6
H-03, "UniV3Vault.sol#collectEarnings() can be front run", 58, S4
H-01, "Wrong trading pricing calculations", 16, S6
H-26, "All user assets which are approved to VaderPoolV2 may be stolen", 52, S2
H-14, "Denial of service", 70, O3
H-04, "Approvals not cleared after key transfer", 54, S3
H-14, "ConcentratedLiquidityPool: rangeFeeGrowth and secondsPerLiquidity math needs to be unchecked", 35, L4
H-02, "OZ ERC1155Supply vulnerability", 49, L1
H-33, "Mixing different types of LP shares can lead to losses for Synth holders", 52, S3
H-05, "Flash loan price manipulation in purchasePyroFlan()", 78, S1
H-02, "Wrong implementation of CreditLimitByMedian.sol#getLockedAmount() makes it unable to unlock lockedAmount in CreditLimitByMedian model", 45, S6
H-12, "wrong calcLiquidityHoldings that leads to dead fund in the Pool", 20, S3
H-07, "pay() function has callback to msg.sender before important state updates", 74, C
H-05, "LPs of VaderPoolV2 can manipulate pool reserves to extract funds from the reserve.", 52, O1
H-02, "Existing user’s locked JPEG could be overwritten by new user, causing permanent loss of JPEG funds", 107, S2
H-02, "Approved spender can spend too many tokens", 47, S3
H-05, "Vault treats all tokens exactly the same that creates (huge) arbitrage opportunities.", 30, O1
H-04, "Swaps are not split when trade crosses target price", 51, S3
H-11, "PoolTemplate.sol#resume() Wrong implementation of resume() will compensate overmuch redeem amount from index pools", 71, S6
H-02, "VaderPoolV2 owner can steal all user assets which are approved VaderPoolV2", 70, O1
H-04, "Deleting nft Info can cause users’ nft.unpaidRewards to be permanently erased", 97, C
H-03, "ReferralFeePoolV0.sol#claimRewardAsMochi() Array out of bound exception", 42, L7
H-12, "Attacker can get extremely cheap synth by front-running create Pool", 52, S4
H-07, "Contract does not work with fee-on transfer tokens", 64, C
H-05, "Users will lose a majority or even all of the rewards when the amount of total shares is too large, due to precision loss", 97, L2
H-02, "Yeti token rebase checks the additional token amount incorrectly", 66, O6
H-01, "yVault: First depositor can break minting of shares", 107, O1
H-01, "Wrong fee calculation after totalSupply was 0", 65, S3
H-04, "ERC20ConvictionScore._writeCheckpoint` does not write to storage on same block", 50, L5
H-02, "withdrawTo Does Not Sync Before Checking A Position’s Margin Requirements", 60, S1
H-02, "UniswapV2PriceOracle.sol currentCumulativePrices() will revert when priceCumulative addition overflow", 90, L7
H-13, "Council veto protection does not work", 70, C
H-02, "Freeze Bridge via Non-UTF8 Token Name/Symbol/Denom", 27, O2
H-03, "ERC20Rewards breaks when setting a different token", 25, O1
